KEY;VALUE
title;SIGURD
playBtn;Giocare
optionsBtn;Opzioni
creditsBtn;Crediti
exitBtn;Uscitare
volTxt;Volume
languageTxt;Lingua
fullscreenTxt;Schermo completa
saveBtn;Salvare
returnBtn;Tornare
txttutmove;WASD o levetta destra per muoverti
txttutjump;Slash o A per saltare
txttutmines;attenzione alle mine
txttutcheckpoint;Tocca un checkpoint per salvare il progresso
txttutatk;Clic destro o X per attaccare
txttutlad;Slash o A accanto a una scala da salire
txttutdiana;Usa le bole di focci per destruire le diane è arribare a nuove zone.
resumeBtn;Continua
resetBtn;Ricomincia
Dialog1.1;…
Dialog1.2;Sigurd... Sigurd... Svegliati.
Dialog1.3;Lasciami. Sono già morto.
Dialog1.4;La lotta non è ancora finita.
Dialog2.1;Sembra che l’uscita sia dietro questa recinzione anche se la porta sembra non cedere.
Dialog2.2;Con un po’ pi di potere riuscirà ad aprirla.
Dialog2.3;Che cazzo insinui?
Dialog2.4;Se riesci a trovare un po' delle tracce della mia energia potrei riguadagnare i miei poteri.
Dialog2.5;"E dove esattamente si trovano queste ""tracce"" di cui parli?"
Dialog2.6;Ci sono casse dappertutto in Yggdrasil. Gli Aesir si sono assicurati di sigillarmi molto tempo fa.
Dialog2.7;Allora abbiamo un nemico in comune. Sono con te.
Dialog3.1;Chi sei? Non mi attaccherai?
Dialog3.2;Mi chiamo Hela e sono l'Aesir che governa Helheim.
Dialog3.3;Un Aesir? Allora dovró sconfiggerti.
Dialog3.4;Aspetta! Vedo che hai un legame con l'Omen. Ti aiuterò. Ho aperto le porte del castello perché tu possa scappare.
Dialog3.5;E perché mi stai aiutando?
Dialog3.6;Ho le mie ragioni. 
